"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"0.469387755","0.466666667","0.1","1","0","0.825","0.181818182","0","1"
"author.and.song.duration","tempo.bpm.","rms.dB.","sampling.frequency.kHz.","sampling.rate.b.","dynamic.range.dB.","tonality","number.of.digital.errors","genre"
"0.306122449","0.566666667","0.2","1","1","0.8","0.454545455","0","1"
"0.071428571","0.733333333","0.9","0","0","0.05","0.818181818","1","4"
"0.714285714","0.866666667","0.9","0","0","0.05","0.818181818","0.857142857","4"
"0.153061224","0.733333333","0.8","0","0","0.075","0","0.714285714","2"
"0.979591837","0.933333333","0.9","0","0","0.075","0.636363636","0.857142857","4"
"0.06122449","0.633333333","0","1","1","0.925","0","0","1"
"0.908163265","0.7","0.4","0","0","0.125","0.181818182","0.714285714","2"
"0.408163265","0.9","0.8","0","0","0.125","0.636363636","0.714285714","4"
"0.612244898","0.8","0.9","0","1","0.125","0.545454545","0.714285714","4"
"0.316326531","0","0.3","1","1","0.925","0","0","1"
"0.867346939","0.733333333","0.5","0","0","0.225","0.181818182","0.428571429","2"
"0.173469388","0.493333333","0.4","0","0","0.4","0","0","3"
"0.183673469","0.533333333","0.1","0","1","0.425","0.909090909","0","3"
"0.693877551","0.533333333","0.1","1","0","0.825","0.272727273","0","1"
"0.43877551","0","0.3","1","1","0.875","0.181818182","0","1"
"0.040816327","0.786666667","0.8","0","0","0.175","0.545454545","0.714285714","2"
"0.530612245","0.7","0.8","0","1","0.15","0.181818182","0.714285714","4"
"0.275510204","0.733333333","0.6","0","1","0.15","0.909090909","0.428571429","2"
"0.62244898","0.733333333","0.8","0","1","0.1","0.545454545","0.857142857","4"
"0.846938776","0.366666667","0.2","0","1","0.3","0.363636364","0","3"
"0.448979592","0.833333333","0.8","0","0","0.125","0.272727273","0.428571429","2"
"0.479591837","0.8","0.7","0","1","0.05","0.636363636","0.714285714","2"
"0.673469388","0.733333333","1","0","1","0","0.727272727","1","4"
"0.112244898","0.533333333","0.2","1","1","0.875","0.181818182","0","1"
"0.051020408","0","0.3","1","1","0.75","0.363636364","0","1"
"0.571428571","0.733333333","0.6","0","1","0.025","0.818181818","0.428571429","2"
"0.969387755","0.933333333","0.9","0","0","0.075","0.727272727","0.714285714","4"
"0.540816327","0.733333333","0.9","0","1","0.2","0.545454545","0.571428571","2"
"0.418367347","0.426666667","0.1","1","1","0.925","0.181818182","0","1"
"0.795918367","0.733333333","0.7","0","1","0.2","0","0.285714286","4"
"0.12244898","0","0.3","0","0","0.325","0.272727273","0","3"
"1","0.766666667","0.8","0","1","0.175","0.363636364","0.571428571","2"
"0.826530612","0.833333333","0.6","0","0","0.2","0.181818182","0.857142857","2"
"0.5","0","0.1","1","0","0.85","0.818181818","0","1"
"0.653061224","0.9","0.9","0","0","0.15","0.272727273","0.428571429","4"
"0","0.82","0.7","0","1","0.15","0.636363636","0.571428571","2"
"0.489795918","0.8","0.8","0","1","0.2","0.727272727","0.714285714","2"
"0.459183673","0.633333333","0.9","0","1","0.075","0.818181818","0.857142857","4"
"0.87755102","0.833333333","0.5","0","1","0.1","0","0.571428571","2"
"0.102040816","0.8","0.7","0","0","0.175","0.454545455","0.571428571","4"
"0.030612245","0.846666667","0.7","0","0","0.15","0.272727273","0.857142857","2"
"0.367346939","0","0.3","1","1","0.925","0.909090909","0","1"
"0.663265306","1","0.8","0","0","0.175","0.363636364","0.285714286","4"
"0.744897959","0.513333333","0.2","1","0","0.95","0.909090909","0","1"
"0.397959184","0.486666667","0.2","0","0","0.35","0.363636364","0","3"
"0.632653061","0.846666667","0.7","0","0","0.125","0.818181818","0.428571429","2"
"0.295918367","0","0.1","0","1","0.4","0.545454545","0","3"
"0.428571429","0.666666667","0.2","1","0","0.8","1","0","1"
